state,year,president,party
West Virginia,1989,"Dukakis, Michael",Democrat
West Virginia,1990,"Dukakis, Michael",Democrat
West Virginia,1991,"Dukakis, Michael",Democrat
West Virginia,1992,"Dukakis, Michael",Democrat
West Virginia,1993,"Clinton, Bill",Democrat
West Virginia,1994,"Clinton, Bill",Democrat
West Virginia,1995,"Clinton, Bill",Democrat
West Virginia,1996,"Clinton, Bill",Democrat
West Virginia,1997,"Clinton, Bill",Democrat
West Virginia,1998,"Clinton, Bill",Democrat
West Virginia,1999,"Clinton, Bill",Democrat
West Virginia,2000,"Clinton, Bill",Democrat
West Virginia,2001,"Bush, George W.",Republican
West Virginia,2002,"Bush, George W.",Republican
West Virginia,2003,"Bush, George W.",Republican
West Virginia,2004,"Bush, George W.",Republican
West Virginia,2005,"Bush, George W.",Republican
Wisconsin,1981,"Reagan, Ronald",Republican
Wisconsin,1982,"Reagan, Ronald",Republican
Wisconsin,1983,"Reagan, Ronald",Republican
Wisconsin,1984,"Reagan, Ronald",Republican
Wisconsin,1985,"Reagan, Ronald",Republican
Wisconsin,1986,"Reagan, Ronald",Republican
Wisconsin,1987,"Reagan, Ronald",Republican
Wisconsin,1988,"Reagan, Ronald",Republican
Wisconsin,1989,"Dukakis, Michael",Democrat
Wisconsin,1990,"Dukakis, Michael",Democrat
Wisconsin,1991,"Dukakis, Michael",Democrat
Wisconsin,1992,"Dukakis, Michael",Democrat
Wisconsin,1993,"Clinton, Bill",Democrat
Wisconsin,1994,"Clinton, Bill",Democrat
Wisconsin,1995,"Clinton, Bill",Democrat
Wisconsin,1996,"Clinton, Bill",Democrat
Wisconsin,1997,"Clinton, Bill",Democrat
Wisconsin,1998,"Clinton, Bill",Democrat
Wisconsin,1999,"Clinton, Bill",Democrat
Wisconsin,2000,"Clinton, Bill",Democrat
Wisconsin,2001,"Gore, Al",Democrat
Wisconsin,2002,"Gore, Al",Democrat
Wisconsin,2003,"Gore, Al",Democrat
Wisconsin,2004,"Gore, Al",Democrat
Wisconsin,2005,"Kerry, John",Democrat
Wyoming,1981,"Reagan, Ronald",Republican
Wyoming,1982,"Reagan, Ronald",Republican
Wyoming,1983,"Reagan, Ronald",Republican
Wyoming,1984,"Reagan, Ronald",Republican
Wyoming,1985,"Reagan, Ronald",Republican
Wyoming,1986,"Reagan, Ronald",Republican
Wyoming,1987,"Reagan, Ronald",Republican
Wyoming,1988,"Reagan, Ronald",Republican
Wyoming,1989,"Bush, George H.W.",Republican
Wyoming,1990,"Bush, George H.W.",Republican
Wyoming,1991,"Bush, George H.W.",Republican
Wyoming,1992,"Bush, George H.W.",Republican
Wyoming,1993,"Bush, George H.W.",Republican
Wyoming,1994,"Bush, George H.W.",Republican
Wyoming,1995,"Bush, George H.W.",Republican
Wyoming,1996,"Bush, George H.W.",Republican
Wyoming,1997,"Dole, Robert",Republican
Wyoming,1998,"Dole, Robert",Republican
Wyoming,1999,"Dole, Robert",Republican
Wyoming,2000,"Dole, Robert",Republican
Wyoming,2001,"Bush, George W.",Republican
Wyoming,2002,"Bush, George W.",Republican
Wyoming,2003,"Bush, George W.",Republican
Wyoming,2004,"Bush, George W.",Republican
Wyoming,2005,"Bush, George W.",Republican
