state,year,president,party
Montana,1990,"Bush, George H.W.",Republican
Montana,1991,"Bush, George H.W.",Republican
Montana,1992,"Bush, George H.W.",Republican
Montana,1993,"Clinton, Bill",Democrat
Montana,1994,"Clinton, Bill",Democrat
Montana,1995,"Clinton, Bill",Democrat
Montana,1996,"Clinton, Bill",Democrat
Montana,1997,"Dole, Robert",Republican
Montana,1998,"Dole, Robert",Republican
Montana,1999,"Dole, Robert",Republican
Montana,2000,"Dole, Robert",Republican
Montana,2001,"Bush, George W.",Republican
Montana,2002,"Bush, George W.",Republican
Montana,2003,"Bush, George W.",Republican
Montana,2004,"Bush, George W.",Republican
Montana,2005,"Bush, George W.",Republican
Nebraska,1981,"Reagan, Ronald",Republican
Nebraska,1982,"Reagan, Ronald",Republican
Nebraska,1983,"Reagan, Ronald",Republican
Nebraska,1984,"Reagan, Ronald",Republican
Nebraska,1985,"Reagan, Ronald",Republican
Nebraska,1986,"Reagan, Ronald",Republican
Nebraska,1987,"Reagan, Ronald",Republican
Nebraska,1988,"Reagan, Ronald",Republican
Nebraska,1989,"Bush, George H.W.",Republican
Nebraska,1990,"Bush, George H.W.",Republican
Nebraska,1991,"Bush, George H.W.",Republican
Nebraska,1992,"Bush, George H.W.",Republican
Nebraska,1993,"Bush, George H.W.",Republican
Nebraska,1994,"Bush, George H.W.",Republican
Nebraska,1995,"Bush, George H.W.",Republican
Nebraska,1996,"Bush, George H.W.",Republican
Nebraska,1997,"Dole, Robert",Republican
Nebraska,1998,"Dole, Robert",Republican
Nebraska,1999,"Dole, Robert",Republican
Nebraska,2000,"Dole, Robert",Republican
Nebraska,2001,"Bush, George W.",Republican
Nebraska,2002,"Bush, George W.",Republican
Nebraska,2003,"Bush, George W.",Republican
Nebraska,2004,"Bush, George W.",Republican
Nebraska,2005,"Bush, George W.",Republican
Nevada,1981,"Reagan, Ronald",Republican
Nevada,1982,"Reagan, Ronald",Republican
Nevada,1983,"Reagan, Ronald",Republican
Nevada,1984,"Reagan, Ronald",Republican
Nevada,1985,"Reagan, Ronald",Republican
Nevada,1986,"Reagan, Ronald",Republican
Nevada,1987,"Reagan, Ronald",Republican
Nevada,1988,"Reagan, Ronald",Republican
Nevada,1989,"Bush, George H.W.",Republican
Nevada,1990,"Bush, George H.W.",Republican
Nevada,1991,"Bush, George H.W.",Republican
Nevada,1992,"Bush, George H.W.",Republican
Nevada,1993,"Clinton, Bill",Democrat
Nevada,1994,"Clinton, Bill",Democrat
Nevada,1995,"Clinton, Bill",Democrat
Nevada,1996,"Clinton, Bill",Democrat
Nevada,1997,"Clinton, Bill",Democrat
Nevada,1998,"Clinton, Bill",Democrat
Nevada,1999,"Clinton, Bill",Democrat
Nevada,2000,"Clinton, Bill",Democrat
Nevada,2001,"Bush, George W.",Republican
Nevada,2002,"Bush, George W.",Republican
Nevada,2003,"Bush, George W.",Republican
Nevada,2004,"Bush, George W.",Republican
Nevada,2005,"Bush, George W.",Republican
New Hampshire,1981,"Reagan, Ronald",Republican
New Hampshire,1982,"Reagan, Ronald",Republican
New Hampshire,1983,"Reagan, Ronald",Republican
New Hampshire,1984,"Reagan, Ronald",Republican
New Hampshire,1985,"Reagan, Ronald",Republican
New Hampshire,1986,"Reagan, Ronald",Republican
New Hampshire,1987,"Reagan, Ronald",Republican
New Hampshire,1988,"Reagan, Ronald",Republican
New Hampshire,1989,"Bush, George H.W.",Republican
New Hampshire,1990,"Bush, George H.W.",Republican
New Hampshire,1991,"Bush, George H.W.",Republican
New Hampshire,1992,"Bush, George H.W.",Republican
New Hampshire,1993,"Clinton, Bill",Democrat
New Hampshire,1994,"Clinton, Bill",Democrat
New Hampshire,1995,"Clinton, Bill",Democrat
New Hampshire,1996,"Clinton, Bill",Democrat
New Hampshire,1997,"Clinton, Bill",Democrat
New Hampshire,1998,"Clinton, Bill",Democrat
New Hampshire,1999,"Clinton, Bill",Democrat
New Hampshire,2000,"Clinton, Bill",Democrat
New Hampshire,2001,"Bush, George W.",Republican
New Hampshire,2002,"Bush, George W.",Republican
New Hampshire,2003,"Bush, George W.",Republican
New Hampshire,2004,"Bush, George W.",Republican
New Hampshire,2005,"Kerry, John",Democrat
New Jersey,1981,"Reagan, Ronald",Republican
New Jersey,1982,"Reagan, Ronald",Republican
New Jersey,1983,"Reagan, Ronald",Republican
New Jersey,1984,"Reagan, Ronald",Republican
New Jersey,1985,"Reagan, Ronald",Republican
New Jersey,1986,"Reagan, Ronald",Republican
New Jersey,1987,"Reagan, Ronald",Republican
New Jersey,1988,"Reagan, Ronald",Republican
New Jersey,1989,"Bush, George H.W.",Republican
New Jersey,1990,"Bush, George H.W.",Republican
New Jersey,1991,"Bush, George H.W.",Republican
New Jersey,1992,"Bush, George H.W.",Republican
New Jersey,1993,"Clinton, Bill",Democrat
New Jersey,1994,"Clinton, Bill",Democrat
New Jersey,1995,"Clinton, Bill",Democrat
New Jersey,1996,"Clinton, Bill",Democrat
New Jersey,1997,"Clinton, Bill",Democrat
New Jersey,1998,"Clinton, Bill",Democrat
New Jersey,1999,"Clinton, Bill",Democrat
New Jersey,2000,"Clinton, Bill",Democrat
New Jersey,2001,"Gore, Al",Democrat
New Jersey,2002,"Gore, Al",Democrat
New Jersey,2003,"Gore, Al",Democrat
New Jersey,2004,"Gore, Al",Democrat
New Jersey,2005,"Kerry, John",Democrat
New Mexico,1981,"Reagan, Ronald",Republican
New Mexico,1982,"Reagan, Ronald",Republican
New Mexico,1983,"Reagan, Ronald",Republican
New Mexico,1984,"Reagan, Ronald",Republican
New Mexico,1985,"Reagan, Ronald",Republican
New Mexico,1986,"Reagan, Ronald",Republican
New Mexico,1987,"Reagan, Ronald",Republican
New Mexico,1988,"Reagan, Ronald",Republican
New Mexico,1989,"Bush, George H.W.",Republican
New Mexico,1990,"Bush, George H.W.",Republican
New Mexico,1991,"Bush, George H.W.",Republican
New Mexico,1992,"Bush, George H.W.",Republican
New Mexico,1993,"Clinton, Bill",Democrat
New Mexico,1994,"Clinton, Bill",Democrat
New Mexico,1995,"Clinton, Bill",Democrat
New Mexico,1996,"Clinton, Bill",Democrat
New Mexico,1997,"Clinton, Bill",Democrat
New Mexico,1998,"Clinton, Bill",Democrat
New Mexico,1999,"Clinton, Bill",Democrat
New Mexico,2000,"Clinton, Bill",Democrat
New Mexico,2001,"Gore, Al",Democrat
New Mexico,2002,"Gore, Al",Democrat
New Mexico,2003,"Gore, Al",Democrat
New Mexico,2004,"Gore, Al",Democrat
New Mexico,2005,"Bush, George W.",Republican
New York,1981,"Carter, Jimmy",Democrat
New York,1982,"Carter, Jimmy",Democrat
New York,1983,"Carter, Jimmy",Democrat
New York,1984,"Carter, Jimmy",Democrat
New York,1985,"Reagan, Ronald",Republican
New York,1986,"Reagan, Ronald",Republican
New York,1987,"Reagan, Ronald",Republican
New York,1988,"Reagan, Ronald",Republican
New York,1989,"Dukakis, Michael",Democrat
New York,1990,"Dukakis, Michael",Democrat
New York,1991,"Dukakis, Michael",Democrat
New York,1992,"Dukakis, Michael",Democrat
New York,1993,"Clinton, Bill",Democrat
New York,1994,"Clinton, Bill",Democrat
New York,1995,"Clinton, Bill",Democrat
New York,1996,"Clinton, Bill",Democrat
New York,1997,"Clinton, Bill",Democrat
New York,1998,"Clinton, Bill",Democrat
New York,1999,"Clinton, Bill",Democrat
New York,2000,"Clinton, Bill",Democrat
New York,2001,"Gore, Al",Democrat
New York,2002,"Gore, Al",Democrat
New York,2003,"Gore, Al",Democrat
New York,2004,"Gore, Al",Democrat
New York,2005,"Kerry, John",Democrat
